Section,ServerName,SymbolCode,IsBookA,BidPrice,AskPrice,Volume,ContractSize,UpdateDateTime
UK,C2,CHFJPY,1,116.5510000,116.6200000,-4.6400000,100000.00,5/6/2014 8:12:46 AM
US,C2,CL.M4,0,99.5800000,99.6300000,-6.0000000,1000.00,5/6/2014 8:12:46 AM
UK,C2,CL.M4,0,99.5800000,99.6300000,-5.7400000,1000.00,5/6/2014 8:12:46 AM
UK,C2,CL.N4,0,98.8100000,98.8800000,0.1000000,1000.00,5/6/2014 8:12:46 AM
UK,C2,DE30.M,0,9544.0000000,9546.0000000,-16.3600000,25.00,5/6/2014 8:12:46 AM
UK,C2,EUA.Z4,0,5.2800000,5.3600000,-0.2000000,1000.00,5/6/2014 8:12:46 AM
UK,C2,EUR50.M,0,3136.5000000,3138.5000000,-0.1000000,10.00,5/6/2014 8:12:46 AM
US,C2,EURAUD,0,1.4950600,1.4958200,-0.0600000,100000.00,5/6/2014 8:12:46 AM
UK,C2,EURAUD,0,1.4950600,1.4958200,0.7500000,100000.00,5/6/2014 8:12:46 AM
UK,C2,EURAUD,1,1.4950600,1.4958200,6.7900000,100000.00,5/6/2014 8:12:46 AM
UK,C2,EURCAD,1,1.5230700,1.5238300,0.5900000,100000.00,5/6/2014 8:12:46 AM
UK,C2,EURCAD,0,1.5230700,1.5238300,-4.1300000,100000.00,5/6/2014 8:12:46 AM
UK,C2,EURCHF,1,1.2176700,1.2179300,164.2900000,100000.00,5/6/2014 8:12:46 AM
US,C2,EURCHF,0,1.2176700,1.2179300,0.0100000,100000.00,5/6/2014 8:12:46 AM
US,C2,EURCHF,1,1.2176700,1.2179300,32.3100000,100000.00,5/6/2014 8:12:46 AM
UK,C2,EURCHF,0,1.2176700,1.2179300,6.6400000,100000.00,5/6/2014 8:12:46 AM
US,C2,EURGBP,1,0.8217100,0.8219100,-1.2900000,100000.00,5/6/2014 8:12:46 AM
UK,C2,EURGBP,0,0.8217100,0.8219100,0.1800000,100000.00,5/6/2014 8:12:46 AM
UK,C2,EURGBP,1,0.8217100,0.8219100,245.7700000,100000.00,5/6/2014 8:12:46 AM
US,C2,EURGBP,0,0.8217100,0.8219100,1.2200000,100000.00,5/6/2014 8:12:46 AM
UK,C2,EURJPY,0,141.9620000,141.9900000,-3.4600000,100000.00,5/6/2014 8:12:46 AM
UK,C2,EURJPY,1,141.9620000,141.9900000,-34.7900000,100000.00,5/6/2014 8:12:46 AM
US,C2,EURJPY,0,141.9620000,141.9900000,0.0200000,100000.00,5/6/2014 8:12:46 AM
US,C2,EURJPY,1,141.9620000,141.9900000,0.0600000,100000.00,5/6/2014 8:12:46 AM
UK,C2,EURMXN,1,18.1458700,18.1500000,-0.7600000,100000.00,5/6/2014 8:12:46 AM
UK,C2,EURNZD,0,1.5945200,1.5954000,-0.0800000,100000.00,5/6/2014 8:12:46 AM
US,C2,EURNZD,0,1.5945200,1.5954000,-0.0100000,100000.00,5/6/2014 8:12:46 AM
UK,C2,EURNZD,1,1.5945200,1.5954000,2.3000000,100000.00,5/6/2014 8:12:46 AM
UK,C2,EURTRY,0,2.9182200,2.9193500,-0.1400000,100000.00,5/6/2014 8:12:46 AM
UK,C2,EURTRY,1,2.9182200,2.9193500,-9.8000000,100000.00,5/6/2014 8:12:46 AM
UK,C2,EURUSD,0,1.3915700,1.3917500,-23.0000000,100000.00,5/6/2014 8:12:46 AM
UK,C2,EURUSD,1,1.3915700,1.3917500,-1312.7400000,100000.00,5/6/2014 8:12:46 AM
US,C2,EURUSD,0,1.3915700,1.3917500,-21.0100000,100000.00,5/6/2014 8:12:46 AM
US,C2,EURUSD,1,1.3915700,1.3917500,-16.0800000,100000.00,5/6/2014 8:12:46 AM
UK,C2,FRA40.M,0,4395.5000000,4397.5000000,-0.3000000,10.00,5/6/2014 8:12:46 AM
UK,C2,GBPAUD,0,1.8194300,1.8200100,-0.1900000,100000.00,5/6/2014 8:12:46 AM
UK,C2,GBPAUD,1,1.8194300,1.8200100,1.8200000,100000.00,5/6/2014 8:12:46 AM
UK,C2,GBPCAD,1,1.8535000,1.8541700,-3.3700000,100000.00,5/6/2014 8:12:46 AM
UK,C2,GBPCAD,0,1.8535000,1.8541700,-0.3600000,100000.00,5/6/2014 8:12:46 AM
UK,C2,GBPCHF,0,1.4815100,1.4821500,2.6400000,100000.00,5/6/2014 8:12:46 AM
UK,C2,GBPCHF,1,1.4815100,1.4821500,-156.4500000,100000.00,5/6/2014 8:12:46 AM
US,C2,GBPCHF,1,1.4815100,1.4821500,0.0400000,100000.00,5/6/2014 8:12:46 AM
US,C2,GBPJPY,0,172.7390000,172.7910000,-0.3900000,100000.00,5/6/2014 8:12:46 AM
US,C2,GBPJPY,1,172.7390000,172.7910000,-0.0200000,100000.00,5/6/2014 8:12:46 AM
UK,C2,GBPJPY,0,172.7390000,172.7910000,-1.3800000,100000.00,5/6/2014 8:12:46 AM
UK,C2,GBPJPY,1,172.7390000,172.7910000,-54.0000000,100000.00,5/6/2014 8:12:46 AM
UK,C2,GBPNZD,0,1.9403000,1.9413600,2.8100000,100000.00,5/6/2014 8:12:46 AM
UK,C2,GBPNZD,1,1.9403000,1.9413600,12.4500000,100000.00,5/6/2014 8:12:46 AM
UK,C2,GBPUSD,1,1.6933200,1.6935600,-556.7000000,100000.00,5/6/2014 8:12:46 AM
US,C2,GBPUSD,0,1.6933200,1.6935600,-15.7200000,100000.00,5/6/2014 8:12:46 AM
US,C2,GBPUSD,1,1.6933200,1.6935600,-8.1200000,100000.00,5/6/2014 8:12:46 AM
UK,C2,GBPUSD,0,1.6933200,1.6935600,-11.5300000,100000.00,5/6/2014 8:12:46 AM
US,C2,GC.M4,0,1310.9000000,1311.4000000,208.0000000,100.00,5/6/2014 8:12:46 AM
UK,C2,HG.N4,0,3.0510000,3.0535000,-0.1000000,25000.00,5/6/2014 8:12:46 AM
UK,C2,MXNJPY,1,7.8217500,7.8260500,-0.0800000,100000.00,5/6/2014 8:12:46 AM
US,C2,NQ100.M,0,3597.0000000,3598.7500000,-0.6000000,20.00,5/6/2014 8:12:46 AM
UK,C2,NQ100.M,0,3597.0000000,3598.7500000,-5.9700000,20.00,5/6/2014 8:12:46 AM
UK,C2,NZDJPY,0,88.9780000,89.0540000,-4.2100000,100000.00,5/6/2014 8:12:46 AM
UK,C2,NZDJPY,1,88.9780000,89.0540000,-0.0500000,100000.00,5/6/2014 8:12:46 AM
US,C2,NZDJPY,1,88.9780000,89.0540000,1.0000000,100000.00,5/6/2014 8:12:46 AM
US,C2,NZDUSD,0,0.8722400,0.8728300,-0.2100000,100000.00,5/6/2014 8:12:46 AM
UK,C2,NZDUSD,0,0.8722400,0.8728300,-1.3400000,100000.00,5/6/2014 8:12:46 AM
UK,C2,NZDUSD,1,0.8722400,0.8728300,-20.0100000,100000.00,5/6/2014 8:12:46 AM
UK,C2,SB.N4,0,17.3900000,17.4600000,0.2000000,1120.00,5/6/2014 8:12:46 AM
UK,C2,SGDJPY,1,81.6190000,81.6750000,0.4700000,100000.00,5/6/2014 8:12:46 AM
US,C2,SI.N4,0,19.6050000,19.6500000,44.0000000,5000.00,5/6/2014 8:12:46 AM
UK,C2,SI.N4,0,19.6050000,19.6500000,0.1000000,5000.00,5/6/2014 8:12:46 AM
UK,C2,UK100.M,0,6769.5000000,6771.5000000,42.1900000,10.00,5/6/2014 8:12:46 AM
US,C2,US30.M,0,16475.0000000,16479.0000000,-35.7000000,5.00,5/6/2014 8:12:46 AM
UK,C2,US30.M,0,16475.0000000,16479.0000000,64.0000000,5.00,5/6/2014 8:12:46 AM
UK,C2,US500.M,0,1879.2500000,1880.0000000,-22.9200000,50.00,5/6/2014 8:12:46 AM
US,C2,US500.M,0,1879.2500000,1880.0000000,-7.0000000,50.00,5/6/2014 8:12:46 AM
US,C2,USDCAD,0,1.0945100,1.0948100,0.0100000,100000.00,5/6/2014 8:12:46 AM
UK,C2,USDCAD,0,1.0945100,1.0948100,4.3700000,100000.00,5/6/2014 8:12:46 AM
US,C2,USDCAD,1,1.0945100,1.0948100,-0.0300000,100000.00,5/6/2014 8:12:46 AM
UK,C2,USDCAD,1,1.0945100,1.0948100,2.3000000,100000.00,5/6/2014 8:12:46 AM
US,C2,USDCHF,0,0.8749400,0.8751700,0.0100000,100000.00,5/6/2014 8:12:46 AM
US,C2,USDCHF,1,0.8749400,0.8751700,-0.0300000,100000.00,5/6/2014 8:12:46 AM
UK,C2,USDCHF,0,0.8749400,0.8751700,4.8700000,100000.00,5/6/2014 8:12:46 AM
UK,C2,USDCHF,1,0.8749400,0.8751700,72.4200000,100000.00,5/6/2014 8:12:46 AM
UK,C2,USDCNH,0,6.2281000,6.2299000,-0.4000000,100000.00,5/6/2014 8:12:46 AM
US,C2,USDCNH,1,6.2281000,6.2299000,-0.2100000,100000.00,5/6/2014 8:12:46 AM
UK,C2,USDCNH,1,6.2281000,6.2299000,-6.0000000,100000.00,5/6/2014 8:12:46 AM
UK,C2,USDDKK,1,5.3622100,5.3643000,0.4900000,100000.00,5/6/2014 8:12:46 AM
UK,C2,USDHKD,1,7.7518000,7.7530500,28.7400000,100000.00,5/6/2014 8:12:46 AM
US,C2,USDJPY,0,102.0090000,102.0290000,0.5000000,100000.00,5/6/2014 8:12:46 AM
US,C2,USDJPY,1,102.0090000,102.0290000,2.1500000,100000.00,5/6/2014 8:12:46 AM
UK,C2,USDJPY,0,102.0090000,102.0290000,-6.3600000,100000.00,5/6/2014 8:12:46 AM
UK,C2,USDJPY,1,102.0090000,102.0290000,-133.7100000,100000.00,5/6/2014 8:12:46 AM
UK,C2,USDMXN,1,13.0384000,13.0422600,3.0800000,100000.00,5/6/2014 8:12:46 AM
UK,C2,USDNOK,1,5.9279900,5.9341800,-0.1100000,100000.00,5/6/2014 8:12:46 AM
UK,C2,USDRUB,1,35.6197000,35.6298000,-0.2000000,100000.00,5/6/2014 8:12:46 AM
UK,C2,USDRUB,0,35.6197000,35.6298000,-0.3000000,100000.00,5/6/2014 8:12:46 AM
UK,C2,USDSEK,1,6.5144900,6.5221600,0.2100000,100000.00,5/6/2014 8:12:46 AM
UK,C2,USDSGD,1,1.2492400,1.2497800,4.2000000,100000.00,5/6/2014 8:12:46 AM
UK,C2,USDTRY,1,2.0964200,2.0970500,-2.4100000,100000.00,5/6/2014 8:12:46 AM
UK,C2,USDTRY,0,2.0964200,2.0970500,-0.2400000,100000.00,5/6/2014 8:12:46 AM
UK,C2,XAGUSD,0,19.5990000,19.6390000,13.1100000,5000.00,5/6/2014 8:12:46 AM
UK,C2,XAGUSD,1,19.5990000,19.6390000,1.5000000,5000.00,5/6/2014 8:12:46 AM
US,C2,XAGUSD,0,19.5990000,19.6390000,20.0000000,5000.00,5/6/2014 8:12:46 AM
UK,C2,XAUUSD,0,1310.8300000,1311.2300000,10.8600000,100.00,5/6/2014 8:12:46 AM
